Hospital,Hospital Current Display,Metric,Metric Display Projection,Metric Display Current,Entity,Metric Key,Metric Projection Seq,Metric Current Seq,Hospital Seq,Metric Display PD,Entity Display PD,Entity Display Seq,Metric PD Seq,Metric Display Trend,Metric Trend Seq
,,,,,,0,0,0,1,,,2,13,,13
WCMC+CMC,WCMC+CMC,Admissions,Admissions,Admissions,WCMC,18,0.5,0.5,2,Admissions,WCMC,5,0.5,Admissions,0.5
WCMC+CMC,WCMC+CMC,Average Daily Census,Average Daily Census,Average Daily Census,WCMC,1,1,1,2,Average Daily Census,WCMC,5,1,Average Daily Census,1
WCMC+CMC,WCMC+CMC,Average Length of Stay,Average Length of Stay,Average Length of Stay**,WCMC,4,4,4,2,Average Length of Stay,WCMC,5,4,Average Length of Stay,1.1
WCMC+CMC,WCMC+CMC,Patient Days,Patient Days,Patient Days*,WCMC,3,3,3,2,Patient Days,WCMC,5,3,Patient Days,3
WCMC+CMC,WCMC+CMC,Average Length of Stay,Average Length of Stay,Average Length of Stay**,CMC,4,4,4,2,Average Length of Stay,CMC,3,4,Average Length of Stay,1.1
BHC,BHC,Average Length of Stay,Average Length of Stay**,Average Length of Stay****,BHC,4,5,12,3,Average Length of Stay,BHC,1,4,Average Length of Stay,1.1
WCMC+CMC,WCMC+CMC,JMH Days,JMH Days,JMH Days,WCMC,21,4.1,4.1,2,JMH Days,WCMC,5,null,JMH Days,1.2
WCMC+CMC,WCMC+CMC,JMH Days,JMH Days,JMH Days,CMC,21,4.1,4.1,2,JMH Days,CMC,3,null,JMH Days,1.2
WCMC+CMC,WCMC+CMC,Patient Days,Patient Days,Patient Days*,CMC,3,3,3,2,Patient Days,CMC,3,3,Patient Days,3
WCMC+CMC,WCMC+CMC,ED Visits,ED Visits,ED Visits,WCMC,7,8,7,2,ED Visits,WCMC,5,8,ED Visits,8
WCMC+CMC,WCMC+CMC,ED Visits,ED Visits,ED Visits,CMC,7,8,7,2,ED Visits,CMC,3,8,ED Visits,8
WCMC+CMC,WCMC+CMC,Surgical Procedures - Inpatient,Surgical Procedures - Inpatient,Surgical Procedures - Inpatient,WCMC,8,9,8,2,Surgical Procedures - Inpatient,WCMC,5,9,Surgical Procedures - Inpatient,9
WCMC+CMC,WCMC+CMC,Admissions,Admissions,Admissions,CMC,18,0.5,0.5,2,Admissions,CMC,3,0.5,Admissions,0.5
WCMC+CMC,WCMC+CMC,Average Daily Census,Average Daily Census,Average Daily Census,CMC,1,1,1,2,Average Daily Census,CMC,3,1,Average Daily Census,1
BHC,BHC,JMH Days,JMH Days,JMH Days,BHC,21,4.1,4.1,3,JMH Days,BHC,1,null,JMH Days,1.2
WCMC+CMC,WCMC+CMC,Surgical Procedures - Inpatient,Surgical Procedures - Inpatient,Surgical Procedures - Inpatient,CMC,8,9,8,2,Surgical Procedures - Inpatient,CMC,3,9,Surgical Procedures - Inpatient,9
WCMC+CMC,WCMC+CMC,Discharges,Discharges,Discharges*,WCMC,2,2,2,2,Discharges,WCMC,5,2,JMH Discharges,2
WCMC+CMC,WCMC+CMC,Discharges,Discharges,Discharges*,CMC,2,2,2,2,Discharges,CMC,3,2,JMH Discharges,2
BHC,BHC,Discharges,Discharges,Discharges,BHC,2,2,10,3,Discharges,BHC,1,2,JMH Discharges,2
WCMC+CMC,WCMC+CMC,ALOS,ALOS,ALOS,WCMC,15,16,18,2,ALOS,WCMC,5,6,ALOS,6
WCMC+CMC,WCMC+CMC,Surgical Procedures - Outpatient,Surgical Procedures - Outpatient,Surgical Procedures - Outpatient,WCMC,16,9.5,8.5,2,Surgical Procedures - Outpatient,WCMC,5,9.5,Surgical Procedures - Outpatient,9.5
WCMC+CMC,WCMC+CMC,Surgical Procedures - Outpatient,Surgical Procedures - Outpatient,Surgical Procedures - Outpatient,CMC,16,9.5,8.5,2,Surgical Procedures - Outpatient,CMC,3,9.5,Surgical Procedures - Outpatient,9.5
WCMC+CMC,WCMC+CMC,Surgical Procedures - Total,Surgical Procedures - Total,Surgical Procedures - Total,WCMC,17,9.6,8.6,2,Surgical Procedures - Total,WCMC,5,9.6,Surgical Procedures - Total,9.6
WCMC+CMC,WCMC+CMC,Surgical Procedures - Total,Surgical Procedures - Total,Surgical Procedures - Total,CMC,17,9.6,8.6,2,Surgical Procedures - Total,CMC,3,9.6,Surgical Procedures - Total,9.6
WCMC+CMC,WCMC+CMC,,,,WCMC,9,10,9,2,,,4,14,,13
BHC,BHC,Admissions,Admissions,Admissions,BHC,18,0.5,0.5,3,Admissions,BHC,1,0.5,Admissions,0.5
BHC,BHC,Average Daily Census,Average Daily Census,Average Daily Census,BHC,1,1,1,3,Average Daily Census,BHC,1,1,Average Daily Census,1
WCMC+CMC,WCMC+CMC,ALOS,ALOS,ALOS,CMC,15,16,18,2,ALOS,CMC,3,6,ALOS,6
BHC,BHC,Patient Days,Patient Days,Patient Days,BHC,3,3,11,3,Patient Days,BHC,1,3,Patient Days,3
,,ALOS,Dummy,Dummy,WCMC,15,16,18,null,ALOS*,CMC/WC,11,6,ALOS,6
BHC,BHC,,,,BHC,10,11,13,3,,,6,15,,13
PN,PN,Total PN Work RVUs,Total PN Work RVUs,Total PN Work RVUs,PN,11,12,14,4,wRVUs,PN,7,10,Total PN Work RVUs,10
PN,PN,,,,PN,12,13,15,4,,,8,16,,13
JMH***,JMH,Gross Charges,Gross Charges,Gross Charges,WCMC,13,14,16,5,Charges,WCMC,5,11,Gross Charges,11
JMH***,JMH,Gross Charges,Gross Charges,Gross Charges,CMC,13,14,16,5,Charges,CMC,3,11,Gross Charges,11
JMH***,JMH,Gross Charges,Gross Charges,Gross Charges,BHC,13,14,16,5,Charges,BHC,1,11,Gross Charges,11
JMH***,JMH,Gross Charges,Gross Charges,Gross Charges,PN,13,14,16,5,Charges,PN,7,11,Gross Charges,11
JMH***,JMH,Collections,Collections,Collections,WCMC,14,15,17,5,Collections,WCMC,5,12,Collections,12
JMH***,JMH,Collections,Collections,Collections,CMC,14,15,17,5,Collections,CMC,3,12,Collections,12
JMH***,JMH,Collections,Collections,Collections,BHC,14,15,17,5,Collections,BHC,1,12,Collections,12
JMH***,JMH,Collections,Collections,Collections,PN,14,15,17,5,Collections,PN,7,12,Collections,12
,,Gross Charges,Dummy,Dummy,WCMC,13,16,18,null,Charges in thousands,JMH,9,11,Gross Charges,11
,,Gross Charges,Dummy,Dummy,CMC,13,16,18,null,Charges in thousands,JMH,9,11,Gross Charges,11
,,Gross Charges,Dummy,Dummy,BHC,13,16,18,null,Charges in thousands,JMH,9,11,Gross Charges,11
,,Gross Charges,Dummy,Dummy,PN,13,16,18,null,Charges in thousands,JMH,9,11,Gross Charges,11
,,Collections,Dummy,Dummy,WCMC,14,16,18,null,Collections in thousands,JMH,9,12,Collections,12
,,Collections,Dummy,Dummy,CMC,14,16,18,null,Collections in thousands,JMH,9,12,Collections,12
,,Collections,Dummy,Dummy,BHC,14,16,18,null,Collections in thousands,JMH,9,12,Collections,12
,,Collections,Dummy,Dummy,PN,14,16,18,null,Collections in thousands,JMH,9,12,Collections,12
,,ALOS,,,CMC,15,null,null,null,ALOS*,CMC/WC,11,6,ALOS,6
WCMC+CMC,WCMC+CMC,O/E - ALOS,O/E - ALOS,O/E - ALOS,WCMC,27,0.9,0.9,2,O/E - ALOS,WCMC,5,0.9,O/E - ALOS,6.1
